location,industry,stage,years,employees,revenue,growth_rate,expenses,profitability,funding_history,funding_need,funding_type,purpose,audited,financial_review,financial_model,readiness,mna_interest,growth_strategy,cross_border,capital_challenge,ops_challenge,service_interest,budget,target
India,E-commerce,Expansion,10+,500+,0,25,50000,High Burn,Debt,1000000,Debt,Tech,0,Monthly,Basic,Low,Open,Acquisition,1,Regulation,Competition,Restructuring,5000,Maybe
Both,Manufacturing,Idea,<1,11-50,0,50,50000,Break-even,Equity,200000,Mezzanine,Working Capital,0,Monthly,Basic,High,Open,Organic,1,Structuring,Scaling,Fundraising,5000,Yes
India,E-commerce,Idea,10+,51-200,0,80,50000,High Burn,Debt,1000000,Convertible,Market Entry,0,Monthly,None,Medium,Active,Organic,0,Valuation,Competition,Matching,100000,Yes
UAE,FinTech,Expansion,<1,51-200,15000000,80,50000,Break-even,Equity,50000,Convertible,Working Capital,0,Rare,Basic,Medium,No,Partnership,1,Pitch,Cashflow,Fundraising,100000,Yes
UAE,Healthcare,Early,1-3,201-500,0,25,200000,Profitable,Both,5000000,Equity,Working Capital,1,Quarterly,Basic,High,Open,Organic,1,Structuring,Competition,Restructuring,5000,No
Other,Healthcare,Growth,5-10,500+,15000000,10,700000,Profitable,Equity,5000000,Convertible,Working Capital,1,Quarterly,None,Medium,Open,Organic,0,Structuring,Hiring,M&A,300000,No
UAE,SaaS,Idea,<1,1-10,5000000,80,200000,Profitable,Both,15000000,Equity,Expansion,1,Monthly,None,Low,No,Partnership,1,Structuring,Scaling,Valuation,300000,No
Both,E-commerce,Mature,10+,500+,200000,50,700000,Break-even,Equity,50000,Convertible,Acquisition,1,Monthly,Detailed,Medium,No,Acquisition,0,Pitch,Competition,Fundraising,300000,Maybe
India,FinTech,Mature,1-3,500+,200000,80,50000,Loss,Both,1000000,Debt,Expansion,1,Quarterly,None,Medium,Active,Fundraising,1,Access,Cashflow,Valuation,100000,No
Other,SaaS,Expansion,<1,201-500,200000,50,10000,Break-even,Debt,5000000,Equity,Expansion,0,Rare,Detailed,Medium,No,Fundraising,1,Regulation,Scaling,Matching,20000,Maybe
